Cluster_ID,Size,Centroid_X,Centroid_Y,Hull_Area
88,9,639956.259331933,2494019.412884639,38079.08294688297
75,9,639287.7185662495,2493334.746635783,26141.694065259526
130,9,640297.0015545697,2499315.908967142,2663.956305996055
106,9,639207.6855905461,2496219.742936839,
104,9,640803.8914431884,2496083.505824781,10721.317259245945
28,9,640620.7336163452,2489328.790132974,837.6338036143
117,8,643056.3642369669,2497695.615608649,6592.667891223674
98,8,638394.9655854277,2495398.007444815,
113,8,641174.5743815982,2497254.824559525,12261.36264352826
14,8,643512.371882358,2487712.3821609644,2272.3072017479926
82,8,639602.0478672595,2493694.700931444,10591.193990090025
114,8,644113.926423035,2497343.710816652,684.5799426943522
2,8,634550.6606526887,2484879.6560648084,823.3869922782945
111,8,641646.6082742037,2497207.3818543376,25840.63802468337
41,8,634620.6084226666,2490458.093881312,1928.3612136117436
42,8,639127.0914189992,2490550.9058512244,11649.61899943412
52,8,637981.0197221171,2491395.6450205864,3735.9641448479506
62,8,639238.5793883849,2492799.517885917,
40,7,640575.4509069677,2490519.536099272,1633.55465216737
79,7,640117.0258473173,2493408.421986543,3631.7819711852167
137,7,641789.9482102295,2501980.642130832,764.4493305786273
6,7,635089.7353919318,2486289.0394620113,1517.231624991806
108,7,639053.8017494897,2496703.082856764,24635.52686838242
50,7,639025.1839155827,2491080.406716219,13171.960264344922
15,7,643682.388605979,2487987.796831478,907.4955690046174
58,7,640757.8366060887,2492033.414575266,297.79522845635705
16,7,641108.4797719368,2488066.522533757,
124,7,639322.1588301102,2498523.2490312485,3947.5418316221044
23,7,637862.5053993112,2488941.681285196,178.8124314932105
90,7,640965.0568154191,2494213.0807034406,2164.49963569964
97,7,641130.7893023296,2495009.9730056943,12153.22147165376
103,7,638659.7168259941,2495906.629930983,2292.162906250428
121,7,641058.2533309702,2498142.8460907745,15082.610316483899
96,7,638802.1027155796,2494823.933928994,5398.741017090526
29,7,635695.9034256478,2489328.8387023527,1713.7865994967106
33,7,640633.2305963843,2489746.6792345606,5130.035592234153
99,7,638635.6288346016,2495416.8541511954,1609.4836551869641
72,7,636095.8238340167,2493161.9790503797,0.0009484483621235995
92,6,639545.9561644766,2494250.9163296325,
1,6,634412.0278597465,2484251.5735994983,2135.2365687063893
68,6,635494.2255992284,2493039.8390446976,0.00020314858753778253
61,6,643653.6074372915,2492873.5665160744,2199.170919370591
136,6,641297.4778523755,2501302.9830654906,
13,6,641029.1446356154,2487153.3178392816,0.2217642717664723
21,6,643996.8038625143,2488764.868914246,
24,6,639413.2925320745,2489040.6147144535,296.8979654108389
132,6,641491.1919946237,2499254.415867937,2183.773734930741
27,6,639768.2497668962,2489279.701683464,2160.9978561537864
31,6,637532.7265657069,2489358.993359851,366.02655188886735
131,6,640965.3347610558,2499289.2100744857,2377.5874109504357
34,6,638361.6903124402,2489908.0156240147,17648.900915080823
35,6,638459.2046316265,2490125.4276912347,4493.550839010781
36,6,640625.604577416,2490231.774757852,713.3941500843612
39,6,640288.4783426975,2490388.2534142514,4103.271899867382
53,6,638777.0692274362,2491497.6264748517,0.060191411393887506
54,6,634000.3443204591,2491490.8018194353,
56,6,643554.260215549,2491654.2931287205,588.2524539631175
116,5,638560.9859274989,2497446.354715866,25.102666959206516
133,5,641061.4352504349,2499706.9850127506,28.97848296324628
135,5,641186.9516593532,2500171.5459287865,2263.9952647184373
126,5,640500.7753575537,2498557.0506151924,248.55285743412423
70,5,632264.1959046624,2493054.560973068,596.4107906851109
110,5,640692.9600686092,2496844.206864867,24395.85670670362
107,5,640838.3314156451,2496453.1636169422,548.2073236255585
3,5,634624.9072283946,2485130.4860620587,604.5530594528205
8,5,638507.9491508303,2486718.284001564,9625.67946184432
